accuracy,macro_f1,balanced_accuracy,macro_precision,macro_recall,classifier,mode
0.7882037533512064,0.7501917639161721,0.7514861500155617,0.8036087858857299,0.7514861500155617,RandomForest,flat
0.7962466487935657,0.7720881442899915,0.7677015250544662,0.7969454022870113,0.7677015250544662,HistGBT_sklearn,flat
0.7158176943699732,0.6805712603748594,0.6788680750077809,0.7012472738962678,0.6788680750077809,LinearSVC,flat
0.7050938337801609,0.6459841085849352,0.6570689386865857,0.72657946110668,0.6570689386865857,RandomForest,section
0.7319034852546917,0.7015254221931917,0.6921826369436664,0.7393076492292824,0.6921826369436664,HistGBT_sklearn,section
0.6514745308310992,0.6053759493886359,0.6065276805166512,0.6333259746717564,0.6065276805166512,LinearSVC,section
0.7613941018766756,0.7271754954032463,0.725093370681606,0.8074279796570819,0.725093370681606,RandomForest,hybrid
0.7855227882037533,0.7533334773408303,0.7547463429816371,0.7690780432372925,0.7547463429816371,HistGBT_sklearn,hybrid
0.7319034852546917,0.6955661502475228,0.6960225062247121,0.7098411854313559,0.6960225062247121,LinearSVC,hybrid
0.7131367292225201,0.6678133313528605,0.678401221599751,0.7248627039813185,0.678401221599751,RandomForest,semantic
0.6836461126005362,0.6334752606555959,0.6399519530034236,0.6540737663609181,0.6399519530034236,HistGBT_sklearn,semantic
0.707774798927614,0.663939685085181,0.6706140094926859,0.6701078955291754,0.6706140094926859,LinearSVC,semantic
0.774798927613941,0.7357712537569844,0.7352279800809213,0.8154324479805702,0.7352279800809213,RandomForest,combined
0.8364611260053619,0.8104004147703588,0.8101657329598506,0.8182162492292137,0.8101657329598506,HistGBT_sklearn,combined
0.7882037533512064,0.7398500149024466,0.7463843176159353,0.7482089223913914,0.7463843176159353,LinearSVC,combined
