mode,method,k,silhouette,nmi,ari,eps,n_clusters,n_noise
flat,KMeans,5.0,0.02866475999510974,0.20963725328314425,0.05118679138077132,,,
flat,KMeans,10.0,0.03743756340020377,0.33651205633814374,0.10269845645101242,,,
flat,KMeans,15.0,0.06374565305219286,0.4292573370249398,0.1891675605946308,,,
flat,KMeans,20.0,0.08120464768456213,0.4301036206786824,0.18707612351045078,,,
flat,KMeans,25.0,0.094869387251489,0.41975953210068206,0.20465762480700356,,,
flat,KMeans,30.0,0.1133543238999883,0.43770164916905835,0.19947281884954196,,,
flat,Hierarchical,24.0,0.08307796715720334,0.4068761015337299,0.10772825501880294,,,
flat,DBSCAN,,-1.0,0.0,0.0,3.0,0.0,1738.0
flat,DBSCAN,,0.36079311566897015,0.04563356904790243,0.0006205434909395424,4.0,5.0,1689.0
flat,DBSCAN,,0.01790191957164191,0.1346474144062064,0.010250923999903048,5.0,21.0,1026.0
flat,DBSCAN,,0.10039425676478628,0.030901820175344638,0.00047351158119570135,6.0,7.0,139.0
flat,DBSCAN,,-1.0,0.0,-2.661026608886796e-05,8.0,1.0,6.0
section,KMeans,5.0,0.009873248742165452,0.15023944699916497,0.030624223414354106,,,
section,KMeans,10.0,0.049856990845808975,0.29481309229857083,0.07447057377858882,,,
section,KMeans,15.0,0.05799003644800816,0.32994857563933083,0.11991402563147058,,,
section,KMeans,20.0,0.06619466403376374,0.3564122302106644,0.12878373530109344,,,
section,KMeans,25.0,0.07701032192805721,0.3323539048586285,0.1279714215053033,,,
section,KMeans,30.0,0.08645591053196959,0.3696950845301112,0.1682417213266637,,,
section,Hierarchical,24.0,0.06451745435500246,0.3207210642751521,0.08492154223080996,,,
section,DBSCAN,,-1.0,0.0,0.0,3.0,0.0,1738.0
section,DBSCAN,,0.2142570649939333,0.018458322924174486,0.00015874263972905285,4.0,3.0,1710.0
section,DBSCAN,,0.04839722833740217,0.054246559645725737,0.0036105551321293757,5.0,10.0,1191.0
section,DBSCAN,,0.1546478763764597,0.030928103077439855,0.0011574341537101433,6.0,4.0,363.0
section,DBSCAN,,-1.0,0.0,3.4728412950716154e-05,8.0,1.0,20.0
